Produkt;Firma;Pytanie ;Stopień trudności pytania;Odpowiedź moja;OWU krótkie;OWU pełne;Uwagi
AUTO;HESTIA;Jakie mam metody naprawy/rozliczania szkody w Autocasco z HESTIA Ergo7 komunikacyjne?;Złożone;Mamy 2 metody rozliczania szkody rozliczenia szkody - metodę kosztorysową lub serwisową;§ 37 ust. 1 pkt 1 pkt 2;§ 37 ust. 1. Jeśli szkoda jest częściowa, ERGO Hestia wylicza odszkodowanie według: pkt 1) metody kosztorysowej – na podstawie wyceny dokonanej przez ERGO Hestię pkt 2) metody serwisowej – na podstawie faktury dokumentującej naprawy pojazdu wystawionej przez zakład dokonujący tej naprawy;
AUTO;HESTIA;Czy objęte są ochroną szkody w Autocasco powstałe na terytorium Białorusi do pełnej wysokości szkody z HESTIA Ergo7 komunikacyjne?;Złożone;Nie, dla szkód powstałych na terytorium Białorusi wprowadony jest udział własny w kwocie 1000 zł., który ponosi Ubezpieczony. Nie dotyczy to sytuacji, w której szkoda powstała w wyniku zderzenia się pojazdów oraz nagłego zetknięcia się pojazdu z osobami, zwierzętami lub przedmiotami z zewnątrz pojazdu;§ 4 ust. 4;§ 4 ust. 4. Do szkód powstałych na terytorium Białorusi, Mołdawii, Rosji i Ukrainy ERGO Hestia wprowadza udział własny 1000 zł. Nie dotyczy to sytuacji, w której szkoda powstała w wyniku zderzenia się pojazdów oraz nagłego zetknięcia się pojazdu z osobami, zwierzętami lub przedmiotami z zewnątrz pojazdu.;
AUTO;HESTIA;Czy w ubezpieczeniu Autocasco ubezpieczona jest Ochrona Utraty Zniżek z HESTIA Ergo7 komunikacyjne?;Złożone;Nie, ochrona utraty zniżek w każdym wariancie Autocasco jest możliwa za opłatą dodatkowej składki;"§ 4 ust. 1 Tabela - Wiersz Ochrona Utraty Zniżki AC znak ""+"" i opis pod tabelą + objęcie zakresem ubezpieczenia za opłatą dodatkowej składki ";"§ 4 ust. 1 Ubezpieczenie Autocasco obejmuje utratę, zniszczenie lub uszkodzenie pojazdu, które wystąpiły nagle, nieprzewidzianie i niezależnie od woli Ubezpieczonego, a ponadto miały charakter losowy i niepewny. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według wariantu wybranego przez Klienta spośród jednego ze wskazanych poniżej: Tabela - - Wiersz wiersz Ochrona Utraty Zniżki AC znak ""+"" i opis pod tabelą + objęcie zakresem ubezpieczenia za opłatą dodatkowej składki ";
AUTO;HESTIA;Czy jakiś warianty Car Assistance gwarantuje dowóz paliwa do unieruchomionego z tego powodu pojazdu z HESTIA Ergo7 komunikacyjne?;Bardzo Złożone;Dowóz paliwa w ubezpieczeniu Car Assistance jest dostępny w ramach Wariantu AWARIA;§ 14 ust. 1 Tabela - Wiersz - Dowóz paliwa;§ 14 ust. 1. Ubezpieczenie Car Assistance obejmuje koszty udzielenia natychmiastowej pomocy za pośrednictwem Centrum Alarmowego. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według poniższych wariantów: Tabela - Wiersz - Dowóz paliwa Kolumna - Awaria - TAK;
AUTO;HESTIA;Czy w ubezpieczeniu Autocasco ochroną może być objęta powłoka ceramiczna z HESTIA Ergo7 komunikacyjne?;Bardzo Złożone;Tak, ochroną ubezpieczeniową w ramach Autocasco ale tylko w wariancie III może zostać objęta powłoka ceramiczna, pod warunkiem, że jej aplikacja nastąpiła w okresie nie dłuższym niż 180 dni przed rozpoczęciem okresu ochrony Ubezpieczenia Autocasco. Górna granica odpowiedzialności za połoke ceramiczną wynosi 5000 zł. Powłoka ceramiczne uwzględnian jest w sumie ubezpieczenia pojazdu;§ 4 ust. 7;§ 4 ust. 7. Ochroną ubezpieczeniową w ramach wariantu III Ubezpieczenia Autocasco może być objęta powłoka ceramiczna, której aplikacja nastąpiła w okresie nie dłuższym niż 180 dni przed rozpoczęciem okresu ochrony Ubezpieczenia Autocasco. Górna granica odpowiedzialności dla szkód w powłoce ceramicznej wynosi 5000 zł. Powłoki ceramiczne uwzględniane są w sumie ubezpieczenia pojazdu.;
AUTO;HESTIA;Jak liczona jest szkoda całkowita w Wariancie II Ubezpieczenia Autocasco z HESTIA Ergo7 komunikacyjne?;Bardzo Złożone;"Sposób rozliczenia szkody Autocasco w Warinacie II zalezy odo wybranego przy ubezpieczeniu sposobu roliczenia szkody tj. wariantu rozliczenia szkody Sieć Partnerska lub wariantu rozliczenia szkody ASO. Wariant Sieć Partnerska - koszty naprawy wyliczane są według określonych w kwotach brutto (to jest uwzględniających VAT): 1/ cen części alternatywnych; 2/ wymiaru koniecznej robocizny, wynikającej z norm określonych przez producenta pojazdu; 3/ stawki roboczogodziny – 110 zł. Jeżeli części alternatywne nie występują na rynku polskim, stosuje się cenę części oryginalnej, a dla Wariantu ASO - przy czym koszty naprawy wyliczane są według określonych w kwotach brutto (to jest uwzględniających VAT): 1/ cen części oryginalnych producenta pojazdu 2/ wymiaru koniecznej robocizny, wynikającej z norm określonych przez producenta pojazdu 3/ średniej stawki za 1 roboczogodzinę w autoryzowanych przez producenta pojazdu zakładach naprawczych (ASO) działających na terenie województwa miejsca zamieszkania Ubezpieczonego";§ 2 Tabela - Wiersz - Szkoda całowita lit. b lit. c;"§ 2 W tym dokumencie ERGO Hestia używa niektórych pojęć w szczególnym znaczeniu. Pojęcia użyte w tym dokumencie przyjmują znaczenie zgodne z poniższymi definicjami, ujętymi w porządku alfabetycznym: Tabela - Wiersz - Szkoda całowita lit. b) w Wariancie II i III Ubezpieczenia Autocasco, w przypadku wyboru wariantu rozliczenia szkody Sieć Partnerska – kradzież pojazdu lub szkoda, dla której koszty naprawy przekraczają 70% wartości rynkowej pojazdu w dniu powstania szkody (a dla pojazdów z przyjętą klauzulą Stała Suma Ubezpieczenia – 70% przyjętej stałej sumy ubezpieczenia), przy czym koszty naprawy wyliczane są według określonych w kwotach brutto (to jest uwzględniających VAT): 1/ cen części alternatywnych 2/ wymiaru koniecznej robocizny, wynikającej z norm określonych przez producenta pojazdu 3/ stawki roboczogodziny – 110 zł. Jeżeli części alternatywne nie występują na rynku polskim, stosuje się cenę części oryginalnej, lit. c) w Wariancie II i III Ubezpieczenia Autocasco, w przypadku wyboru wariantu rozliczenia szkody ASO – kradzież pojazdu lub szkoda, dla której koszty naprawy przekraczają 70% wartości rynkowej pojazdu w dniu powstania szkody (a dla pojazdów z przyjętą klauzulą Stała Suma Ubezpieczenia – 70% przyjętej stałej sumy ubezpieczenia), przy czym koszty naprawy wyliczane są według określonych w kwotach brutto (to jest uwzględniających VAT): 1/ cen części oryginalnych producenta pojazdu 2/ wymiaru koniecznej robocizny, wynikającej z norm określonych przez producenta pojazdu 3/ średniej stawki za 1 roboczogodzinę w autoryzowanych przez producenta pojazdu zakładach naprawczych (ASO) działających na terenie województwa miejsca zamieszkania  Ubezpieczonego";
AUTO;HESTIA;Jakie można wykupić ubezpieczenia dodatkowe w Autocasco z HESTIA Ergo7 komunikacyjne?;Bardzo proste;W Autocasco można wykupić następujące ubezpieczenia dodatkowe - Ubezpieczenia dodatkowe Stała Suma Ubezpieczenia i Ochrona Utraty Zniżki AC;https://www.ergohestia.pl/ubezpieczenie-pojazdu/ac/;"Ubezpieczenia dodatkowe Stała Suma Ubezpieczenia to kolejne uzupełnienie ubezpieczenia Autocasco (dostępna w III – najwyższym, Wariancie ubezpieczenia), dzięki któremu wartość Twojego pojazdu z dnia zawarcia umowy ubezpieczenia zostaje utrzymana przez cały okres ubezpieczenia. W przypadku uszkodzenia lub kradzieży pojazdu wysokość odszkodowania liczona jest od sumy ubezpieczenia (wartości rynkowej pojazdu) z dnia zawarcia umowy Ochrona Utraty Zniżki AC to dodatkowe ubezpieczenie, które przy wyliczeniu wysokości składki z tytułu kolejnej umowy ubezpieczenia danego pojazdu pozwala na zachowanie przebiegu ubezpieczenia na dotychczasowym poziomie w przypadku zgłoszenia jednej szkody w trakcie trwania ochrony";
AUTO;WARTA;Czy mogę ubezpieczyć pojazd zarejestrowany za granicą Rzeczypospolitej Polskiej z WARTA Autocasco?;Proste;Pojazd zarejestrowany za granicą Rzeczypospolitej Polskiej (RP) nie może być ubezpieczony zarówno w ramach OWU Autocasco Standard jak i OWU Autocasco Komfort;"OWU Autocasco Standard - § 3 ust. 2 OWU Autocasco Komfort - § 3 ust. 5";"OWU Autocasco Standard - § 3 ust. 2. Pojazd zarejestrowany za granicą Rzeczypospolitej Polskiej (RP) nie może być ubezpieczony na zasadach określonych w niniejszych OWU ACS.  OWU Autocasco Komfort - § 3 ust. 5. Pojazd zarejestrowany za granicą Rzeczypospolitej Polskiej (RP) nie może być ubezpieczony na zasadach określonych w niniejszych OWU ACK";
AUTO;WARTA;Czy mogę ubezpieczyć w Autocasco pojazd przeznaczonych do nauki jazdy z WARTA Autocasco?;Proste;Pojazd służące do nauki jazdy nie może być ubezpieczony w ramach OWU Autocasco Komfort a w ramach OWU Autocasco Standard mogą być ubezpieczone ale rozszerzenia ochrony o pojazdy służoce do nauki jazdy i pod warunkiem opłacenia dodatkowej składki;"OWU Autocasco Standard - § 4 ust. 3 pkt 1 § 8 ust. 1 OWU Autocasco Komfort - § 3 ust. 2 pkt 1";"OWU Autocasco Standard - §4 ust 3. Jeżeli nie umówiono się inaczej, ubezpieczeniem nie są objęte szkody powstałe: pkt 1) w pojazdach przeznaczonych do nauki jazdy, § 8 ust. 1. Ubezpieczający, po opłaceniu dodatkowej składki może rozszerzyć umowę ubezpieczenia ACS o objęcie ochroną ubezpieczeniową szkód, powstałych w pojazdach przeznaczonych do nauki jazdy lub w pojazdach wynajmowanych zarobkowo, z okresem ochrony do końca trwania umowy ACS. W odniesieniu do samochodów osobowych, objęcie ochroną ubezpieczeniową szkód powstałych w pojazdach wynajmowanych zarobkowo, ogranicza się do zdarzeń, które zaszły na terytorium RP OWU Autocasco Komfort - §3 ust 2. Ubezpieczeniem nie mogą być objęte pojazdy: pkt 1) przeznaczone do nauki jazdy";*
AUTO;WARTA;Czy przy ustalaniu wysokości odszkodowania za szkody w bateriach trakcyjnych uwzględnia się ich indywidualne zużycie eksploatacyjne lub norm zużycia podane przez producenta z WARTA Autocasco?;Proste;Zarówno w ramach OWU Autocasco Standard jak i OWU Autocasco Komfort przy ustalaniu wysokości odszkodowania za szkody w bateriach trakcyjnych uwzględnia się ich indywidualne zużycie eksploatacyjne lub norm zużycia podane przez producenta;"OWU Autocasco Standard - § 15 ust. 6 lit a OWU Autocasco Komfort - § 14 ust. 5";"OWU Autocasco Standard - § 15 ust. 6. Przy ustalaniu wysokości odszkodowania za szkody w: a) ogumieniu, baterii trakcyjnej, elementach układu wydechowego uwzględnia się indywidualne zużycie eksploatacyjne – stosownie do stanu tych elementów lub norm zużycia, określonych na podstawie danych producenta pojazdu OWU Autocasco Komfort - § 14 ust. 5. Przy ustalaniu wysokości odszkodowania za szkody w ogumieniu, baterii trakcyjnej, elementach układu wydechowego uwzględnia się indywidualne zużycie eksploatacyjne – stosownie do stanu tych elementów lub norm zużycia, określonych na podstawie danych producenta pojazdu";
AUTO;WARTA;Czy standardowo w Autocasco przy szkodach stosuje się procentowe pomniejszenie wartości części dla pojazdów powyżej 5 roku eksploatacji z WARTA Autocasco?;Złożone;W ramach OWU Autocasco Komfort przy szkodach nie stosuje się procentowego pomniejszenia wartości części dla pojazdów powyżej 5 roku eksploatacji, a w ramach OWU Autocasco Standard przy szkodach stosuje się procentowego pomniejszenia wartości części dla pojazdów powyżej 5 roku eksploatacji, chyba że przy zawarciu umowy ubezpieczenia, pod warunkiem opłacenia dodatkowej składki, w umowie ubezpieczenia zniesiono procentowe pomniejszenie wartości części przy ustalaniu wysokości odszkodowania ;"OWU Autocasco Standard - § 8 ust. 3 pkt 1 § 15 ust. 3 Tabela - Wiersz - powyżej 5 do 7 lat OWU Autocasco Komfort - brak zapisów ";"OWU Autocasco Standard - § 8 ust. 3. Wyłącznie przy zawarciu umowy ubezpieczenia ACS, pod warunkiem opłacenia dodatkowej składki, w umowie ubezpieczenia można: pkt 1) znieść procentowe pomniejszenie wartości części przy ustalaniu wysokości odszkodowania zgodnie z § 14 ust. 2, § 15 ust. 2 i § 15 ust. 3 § 15 ust. 3. Jeżeli w umowie ubezpieczenia nie zostało zniesione procentowe pomniejszenie wartości części zgodnie z § 8 ust.3 pkt 1) przy ustaleniu wysokości odszkodowania ma zastosowanie poniższa tabela (z uwzględnieniem postanowień ust. 6-8) - Tabela - Wiersz - powyżej 5 do 7 lat OWU Autocasco Komfort - brak zapisów ";*
AUTO;WARTA;Czy w umowie ubezpieczenia może mieć zastosowanie udział własny w szkodzie z WARTA Autocasco?;Złożone;Tylko w ramach Autocasco Standard może być potrącony 10% udział własny z tytułu szkód powstałych, gdy kierującym w momencie zajścia zdarzenia była osoba o zwiększonym ryzyku ubezpieczeniowym, chyba że ten udział własny został zniesiony (wykupiony). Także dla niektórych marek w szkodach kradziezowych może być wprowadzony udział własny Ubezpieczjącego w szkodzie.;"OWU Autocasco Standard - § 8 ust. 2 § 19 ust. 2 i ust 3 OWU Autocasco Komfort - brak zapisów ";"OWU Autocasco Standard - § 8 ust. 2. Ubezpieczający, po opłaceniu dodatkowej składki, może znieść udział własny, o którym mowa w § 19 ust. 2, w szkodach powstałych, gdy kierującym w momencie zajścia zdarzenia jest osoba o zwiększonym ryzyku ubezpieczeniowym do końca trwania umowy ACS § 19 ust 2. W umowach ubezpieczenia stosuje się 10% udział własny z tytułu szkód powstałych, gdy kierującym w momencie zajścia zdarzenia była osoba o zwiększonym ryzyku ubezpieczeniowym, chyba że ten udział własny został zniesiony, zgodnie z § 8 ust. 2 ust. 3. Dla określonych rodzajów lub marek pojazdów  WARTA może wprowadzić udział własny w szkodzie polegającej na kradzieży pojazdu, którego wysokość i zakres stosowania ustala Dyrektor nadzorujący merytorycznie ubezpieczenia komunikacyjne. Wysokość udziału własnego w szkodzie kradzieżowej określona jest procentowo przy zawarciu umowy w dokumencie ubezpieczenia. OWU Autocasco Komfort - brak zapisów ";*
AUTO;WARTA;Kiedy wygasa umowa Autocasco gdy Ubezpieczający nie opłacił pierwszej raty składki a umowa nie została wypowiedziana z WARTA Autocasco?;Złożone;Zarówno w ramach OWU Autocasco Standard jak i OWU Autocasco Komfort w przypadku, gdy WARTA ponosi odpowiedzialność jeszcze przed zapłaceniem składki lub jej pierwszej raty, a składka lub jej pierwsza rata nie została zapłacona w terminie określonym w dokumencie ubezpieczenia, WARTA może wypowiedzieć umowę ze skutkiem natychmiastowym. W przypadku braku wypowiedzenia umowy, umowa wygasa z końcem okresu za który przypada niezapłacona składka.;"OWU Autocasco Standard - § 6 ust. 2 OWU Autocasco Komfort - § 6 ust. 2";"OWU Autocasco Standard - § 6 ust. 2. W przypadku, gdy  WARTA ponosi odpowiedzialność jeszcze przed zapłaceniem składki lub jej pierwszej raty, a składka lub jej pierwsza rata nie została zapłacona w terminie określonym w dokumencie ubezpieczenia, WARTA może wypowiedzieć umowę ze skutkiem natychmiastowym i zażądać zapłacenia składki za okres, przez który ponosiła odpowiedzialność. W przypadku braku wypowiedzenia umowy, wygasa ona z końcem okresu za który przypada niezapłacona składka. OWU Autocasco Komfort - § 6 ust. 2. W przypadku, gdy  WARTA ponosi odpowiedzialność jeszcze przed zapłaceniem składki lub jej pierwszej raty, a składka lub jej pierwsza rata nie została zapłacona w terminie określonym w dokumencie ubezpieczenia, WARTA może wypowiedzieć umowę ze skutkiem natychmiastowym i zażądać zapłacenia składki za okres przez który ponosiła odpowiedzialność. W przypadku braku wypowiedzenia umowy wygasa ona z końcem okresu za który przypada niezapłacona składka.";
AUTO;WARTA;Czy wypłacone odszkodowanie z umowy Autocasco pomniejsza sumę ubezpieczenia z WARTA Autocasco?;Bardzo Złożone;Tylko w ramach Autocasco Standard wypłacone odszkodowanie pomniejsza sumę ubezpieczenia, chyba że w umowie odstąpiono od pomniejszenia sumy ubezpieczenia po każdej wypłacie odszkodowania pod warunkiem opłacenia dodatkowej;"OWU Autocasco Standard - § 9 ust. 2 § 8 ust. 3 pkt 2 § 20 OWU Autocasco Komfort - § 8 ust. 2";"OWU Autocasco Standard - § 8 ust. 2. Każde wypłacone odszkodowanie (z wyłączeniem kosztów określonych w § 20) pomniejsza sumę ubezpieczenia aż do jej wyczerpania, chyba że w umowie ubezpieczenia odstąpiono od pomniejszenia sumy ubezpieczenia zgodnie z § 8 ust. 3 pkt 2) § 8 ust. 3. Wyłącznie przy zawarciu umowy ubezpieczenia ACS, pod warunkiem opłacenia dodatkowej składki, w umowie ubezpieczenia można: pkt 2) odstąpić od pomniejszenia sumy ubezpieczenia po każdej wypłacie odszkodowania § 9 ust. 2. Każde wypłacone odszkodowanie (z wyłączeniem kosztów określonych w § 20) pomniejsza sumę ubezpieczenia aż do jej wyczerpania, chyba że w umowie ubezpieczenia odstąpiono od pomniejszenia sumy ubezpieczenia zgodnie z § 8 ust. 3 pkt 2) OWU Autocasco Komfort - § 8 ust. 2. Suma ubezpieczenia jest stała w czasie trwania umowy (Gwarantowana Suma Ubezpieczenia).";*
AUTO;WARTA;Czy wyłączona jest odpowiedzialność w Autocasco za szkody w pojeździe, który nie posiadał ważnych okresowych badań technicznych z WARTA Autocasco?;Bardzo Złożone;"Tylko w ramach Autocasco Standard nie ma odpowiedzialności za szkody powstałe podczas kierowania pojazdem, gdy pojazd nie był dopuszczony do ruchu, a także powstałe podczas kierowania pojazdem niezarejestrowanym lub pojazdem nie-posiadającym ważnego dowodu rejestracyjnego lub ważnego badania technicznego – jeżeli w odniesieniu  do tego pojazdu obowiązuje wymóg rejestracji lub dokonywania okresowych badań technicznych, a stan techniczny pojazdu miał wpływ na powstanie szkody,";"OWU Autocasco Standard - § 4 ust. 1 pkt 5 OWU Autocasco Komfort - brak zapisów ";"OWU Autocasco Standard - § 4 ust. 1 WARTA nie odpowiada za szkody: pkt 5) powstałe podczas kierowania pojazdem, gdy pojazd nie był dopuszczony do ruchu, a także powstałe podczas kierowania pojazdem niezarejestrowanym lub pojazdem nie-posiadającym ważnego dowodu rejestracyjnego lub ważnego badania technicznego – jeżeli w odniesieniu  do tego pojazdu obowiązuje wymóg rejestracji lub dokonywania okresowych badań technicznych, a stan techniczny pojazdu miał wpływ na powstanie szkody OWU Autocasco Komfort - brak zapisów ";*
AUTO;WARTA;Czy w Autocasco ochronę jest objęty przewożony bagaż z WARTA Autocasco?;Bardzo Złożone;Tylko w ramach Autocasco Komfort ochoną objęty jest również bagaż przewożony w pojeździe. Jako bagaż rozumie się przenośny sprzęt elektroniczny (przenośne komputery, telefony komórkowe, nawigacje samochodowe, kamery cyfrowe, aparaty cyfrowe), nośniki pamięci, wózki, chodziki, torby, walizki z wyłączeniem ich zawartości innej niż przenośny sprzęt elektroniczny i nośniki pamięci;"OWU Autocasco Standard - § 3 OWU Autocasco Komfort - § 2 ust. 3 § 3 ust 4 ust. 7 ust. 8";"OWU Autocasco Standard - § 3 ust. 1. WARTA ubezpiecza pojazd wraz z jego wyposażeniem ust. 2. Pojazd zarejestrowany za granicą Rzeczypospolitej Polskiej (RP) nie może być ubezpieczony na zasadach określonych w niniejszych OWU ACS ust. 3. Z tytułu umowy ubezpieczenia przysługuje odszkodowanie w razie uszkodzenia, całkowitego zniszczenia lub kradzieży pojazdu, jego części lub wyposażenia wskutek wszelkich zdarzeń powstałych niezależnie od woli Ubezpieczonego lub osoby upoważnionej do korzystania z pojazdu z wyłączeniem szkód wymienionych w § 4 ust. 4. Ubezpieczeniem w zakresie utraty pojazdu wskutek kradzieży nie są objęte motorowery ust. 5. Umową ubezpieczenia objęte są szkody powstałe na terytorium RP oraz pozostałych krajów europejskich (Rosja i Turcja w europejskich częściach ich terytoriów), a także Maroka, Tunezji i Izraela. W rozumieniu niniejszych OWU szkody powstałe na terytorium Gruzji nie są objęte ochroną ubezpieczeniową OWU Autocasco Komfort - § 2 ust. 3. Bagaż – stanowiące własność Ubezpieczonego (a także kierowcy lub któregokolwiek z pasażerów pojazdu), znajdujące się w chwili zdarzenia w ubezpieczonym pojeździe, następujące przedmioty: 1) przenośny sprzęt elektroniczny, w tym przenośne komputery, telefony komórkowe, nawigacje samochodowe, kamery cyfrowe, aparaty cyfrowe, 2) nośniki pamięci, 3) wózki, chodziki, 4) torby, walizki, z wyłączeniem ich zawartości innej niż wymienione w pkt 1) i 2) § 3 ust 4. Ochroną ubezpieczeniową w zakresie opisanym w ust. 7 i 8 objęty jest bagaż przewożony w ubezpieczonym pojeździe § 3 ust. 7. W razie uszkodzenia lub całkowitego zniszczenia bagażu przysługuje odszkodowanie, pod warunkiem, że uszkodzenie bagażu nastąpiło w trakcie tego samego zdarzenia, w następstwie którego uległ uszkodzeniu pojazd, za które WARTA – stosownie do umowy ubezpieczenia ACK, zgodnie z ust. 6 – ponosi odpowiedzialność § 3 ust. 8. Górną granicę odpowiedzialności WARTY za szkody powstałe w bagażu przewożonym ubezpieczonym pojazdem stanowi kwota równa 5% sumy ubezpieczenia pojazdu, nie więcej jednak niż 3.000 zł brutto. Kwota ta ulega zmniejszeniu o wartość wypłaconego odszkodowania z tytułu uszkodzenia lub całkowitego zniszczenia bagażu bez możliwości jej odtworzenia (doubezpieczenia). ";*
AUTO;WARTA;Na jaki okres jest zawierana standardowo umowa Autocasco z WARTA Autocasco?;Bardzo proste;Standardowo umowy AC zawiera się na 12 miesięcy;https://www.warta.pl/ubezpieczenie-ac/;Na jaki okres zawierana jest umowa ubezpieczenia AC? Standardowo umowy AC zawiera się na 12 miesięcy;
AUTO;PZU;Czy w ubezpieczeniu Auto Szyba jest odpowiedzialność za uszkodzenie szyberdachu z PZU Auto?;Proste;Nie, w ramach ubezpieczenia Auto Szyba (PAS) nie odpowiedzialności za uszkodzenie szyberdachu;§ 29 ust. 3 pkt 1;§ 29 ust. 3. Ponadto PAS nie obejmuje uszkodzenia lub zniszczenia: pkt 1) innych niż szyba czołowa, tylna nie stanowiąca integralnej części dachu pojazdu lub szyba boczna, szklanych elementów pojazdu: szyberdachu, szkła reflektora, lusterka, dachu szklanego;
AUTO;PZU;Czy ubezpieczeniu Autocasco jest franszyza integralna z PZU Auto?;Proste;Tak w ubezpieczeniu Autocasco jest franszyza untegralna czyli ochroną nie są objęte szkody, których wartość nie przekracza 300 zł (franszyza integralna), ograniczenie to nie dotyczy szkód polegających na uszkodzeniu wnętrza pojazdu przez osoby, których przewóz wymagany był potrzebą udzielenia pomocy medycznej;§ 12 ust. 1 pkt 1;"§ 12 ust. 1. AC nie są objęte szkody: pkt 1) których wartość nie przekracza 300 zł (franszyza integralna); ograniczenie to nie dotyczy szkód polegających na uszkodzeniu wnętrza pojazdu przez osoby, których przewóz wymagany był potrzebą udzielenia pomocy medycznej";
AUTO;PZU;Czy w NNW Max mogę ubezpieczyć quada z PZU Auto?;Proste;Nie w ubezpieczeniu NNW Max nie można ubezpieczać quadów i motocykli;§ 4 ust. 7;"§ 4 Przedmiotem ubezpieczenia: ust. 7) w NNW Max – są następstwa wypadków ubezpieczeniowych, które zaszły w związku z ruchem pojazdu lub podczas używania pojazdu, z wyłączeniem motocykli, quadów;";
AUTO;PZU;Czy w Autocasco mogę ubezpieczyć pojazd służący do przewozu przesyłek kurierskich z PZU Auto?;Złożone;Tak w ramach ubezpieczenia Autocasco można za opłatą dodatkowej składki ubezpieczyć pojazd służący do przewozu przestyłek kurierskich pod warunkiem, że jest to samochód osobowy, ciężarowy w nadwoziu osobowego lub inny ciężarowy o ładowności do 2t;§ 9 ust 1. pkt 3 lit. d;§ 9 ust 1. Za zapłatą dodatkowej składki ubezpieczeniowej umowa AC: pkt 3) może obejmować szkody powstałe w pojazdach przeznaczonych do: lit. d)  przewozu przesyłek kurierskich – dotyczy wyłącznie samochodów osobowych, ciężarowych w nadwoziu osobowego lub innych ciężarowych o ładowności do 2t;
AUTO;PZU;Czy w Autocasco jest odpowiedzialność za szkody kradzieżowe zaistniałe na terytorium Mołdawii z PZU Auto?;Złożone;Tak w ramach ubezpieczenia Autocasco można za opłatą dodatkowej składki ubezpieczyć pojazd od kradzieży zaistniałej na terytorium Mołdawii;§ 9 ust 1. pkt 2;§ 9 ust 1. Za zapłatą dodatkowej składki ubezpieczeniowej umowa AC: pkt 2) może obejmować szkody kradzieżowe zaistniałe na terytorium Rosji, Białorusi, Ukrainy i Mołdawii;
AUTO;PZU;Czy w Autocasco odpowiedzialnością są objęte szkody spowodowane umyślnie lub wskutek rażącego niedbalstwa przez Ubezpieczonego z PZU Auto?;Złożone;Co do zasady wyłączona jest odpowiedzialnośc szkody spowodowane umyślnie lub wskutek rażącego niedbalstwa, chyba że w razie rażącego niedbalstwa zapłata odszkodowania odpowiada w danych okolicznościach względom słuszności;§ 12 ust 1. pkt 2;§ 12 ust. 1. AC nie są objęte szkody: pkt 2) spowodowane umyślnie lub wskutek rażącego niedbalstwa przez ubezpieczonego, chyba że w razie rażącego niedbalstwa zapłata odszkodowania odpowiada w danych okolicznościach względom słuszności;
AUTO;PZU;Czy w ubezpieczeniu Pomoc w Drodze mogę ubezpieczyć samochód ciężarowe o dopuszczalnej masie całkowitej powyżej 3,5t lub ciągnik siodłowy z PZU Auto?;Bardzo Złożone;Tak, w ubezpieczeniu Pomoc w Drodze (PWD) w Warinacie Super Truck mogę ubezpieczyć samochód ciężarowe o dopuszczalnej masie całkowitej powyżej 3,5t lub ciągnik siodłowy ale o dopuszczalnej masie całkowitej nie większej niż 44t;§ 5 ust. 4 lit. a lit. c ;"§ 5 Ubezpieczenia określone w OWU mogą dotyczyć następujących rodzajów pojazdów, o których mowa w § 4: ust. 4) w PWD w wariancie Super Truck i wariancie Komfort Truck: lit. a) samochody ciężarowe o dopuszczalnej masie całkowitej powyżej 3,5t do 44t lit. c) ciągniki samochodowe o dopuszczalnej masie całkowitej  do 44t";
AUTO;PZU;Czy mogę rozszerzyć ochronę o dodatkową opcję w Autocasco aby przy szkodzie nie sprawdzano czy zachodzi przypadek szkody całkowitej z PZU Auto?;Bardzo Złożone;Nie, nie ma takiej możliwości;§ 9 ust. 1;"§ 9 ust. 1. Za zapłatą dodatkowej składki ubezpieczeniowej umowa AC: pkt 1) może zostać zawarta z zastosowaniem opcji Auto Wartość 100% zapewniającej zachowanie wartości pojazdu ustalonej na dzień zawarcia umowy AC, jeżeli od dnia zawarcia umowy AC nastąpi utrata wartości rynkowej pojazdu, pod warunkiem, że do ustalenia tej wartości ubezpieczający podał zgodne ze stanem faktycznym informacje o pojeździe, o które PZU pytał przy zawarciu umowy AC; jeżeli informacje te nie były zgodne ze stanem faktycznym, za wartość pojazdu uważa się wartość pojazdu właściwą na dzień zawarcia umowy AC zgodnie ze stanem faktycznym; wartości tej nie stosuje się w celu ustalenia, czy zachodzi przypadek szkody całkowitej";
AUTO;PZU;W jakim wariancie Autocasco koszty części zamiennych zakwalifikowanych do wymiany przy naprawie pojazdu ustalane są na podstawie cen części oryginalnych bez potrącenia amortyzacji z PZU Auto?;Bardzo Złożone;W wariancie serwisowym koszty naprawy pojazdu ustalane są na podstawie cen oryginalnych części zamiennych zakwalifikowanych do wymiany;§ 17 ust. 1. pkt 1;§ 17 ust. 1. Koszty naprawy pojazdu ustalane są na podstawie następujących cen części zamiennych zakwalifikowanych do wymiany: pkt 1) w wariancie serwisowym – cen części oryginalnych;
